DISTRICT,DEM VOTES,REP VOTES,WINNER,TOTAL VOTES
1,165809,201571,REP,367380
2,141229,45454,DEM,186683
3,251115,0,DEM,251115
4,224799,141986,DEM,366785
5,205128,110058,DEM,315186
6,190386,136097,DEM,326483
7,151364,145527,DEM,296891
8,146956,139930,DEM,286886
9,92622,209185,REP,301807
10,145215,169331,REP,314546
11,121835,194991,REP,316826
12,184674,143946,DEM,328620
13,0,160345,REP,160345
14,0,230865,REP,230865
15,91729,213417,REP,305146
16,130443,190546,REP,320989
17,193615,169013,DEM,362628
